3001,1000000
3002,1000001
3003,1000002
3004,1000003
3005,1000004
3006,1000005
3007,1000006
3008,1000007
3009,1000000
3010,1000001
3011,1000002
3012,1000003
3013,1000004
3014,1000005
3015,1000006
3016,1000007
3017,1000000
3018,1000001
3019,1000002
3020,1000003
3021,1000004
3022,1000005
3023,1000006
3024,1000007
3025,1000000
3026,1000001
3027,1000002
3028,1000003
3029,1000004
3030,1000005
3031,1000006
3032,1000007
3033,1000000
3034,1000001
3035,1000002
3036,1000003
3037,1000004
3038,1000005
3039,1000006
3040,1000007
3041,1000000
3042,1000001
3043,1000002
3044,1000003
3045,1000004
3046,1000005
3047,1000006
3048,1000007
3049,1000000
3050,1000001
3051,1000002
3052,1000003
3053,1000004
3054,1000005
3055,1000006
3056,1000007
3057,1000000
3058,1000001
3059,1000002
3060,1000003
3061,1000004
3062,1000005
3063,1000006
3064,1000007
3065,1000000
3066,1000001
3067,1000002
3068,1000003
3069,1000004
3070,1000005
3071,1000006
