2001,National Institute of Health,Bo,34244153,vitae@liberomaurisaliquam.org,503-1782 Mauris Avenue
2002,DHQ Hospital,Lionel,34590538,senectus.et.netus@imperdieteratnonummy.co.pk,148-1582 Eu Street
2003,Civil Hospital,Ivan,34211349,a.ultricies@egetvolutpat.com,Ap #294-5166 Neque. Street
2004,Bolan Medical College,Peter,34997016,arcu.et.pede@Donec.net,7240 Varius Rd.
2005,Mission Hospital,Paul,34304886,nunc.sed.libero@loremeget.com,635-9477 Aliquam St.
2006,DHQ Hospital,Indira,34161648,risus.Quisque@atauctorullamcorper.pk,3906 Dictum St.
2007,Pakistan Ordnance Factories (POF) Hospital,Troy,34625903,neque.vitae@senectus.com,Ap #201-5699 Fermentum Rd.
2008,Combined Military Hospital,Tanner,34404063,elit.Curabitur@aliquameu.edu,Ap #429-5951 Mauris St.
2009,DHQ Hospital,Daquan,34656812,non.magna@portaelit.pk,141-2248 Pharetra St.
2010,Bahawal Victoria Hospital,Reuben,34762027,Duis.ac.arcu@cursus.com,417-7738 Pede Av.
2011,Combined Military Hospital,Xandra,34064738,erat.Vivamus@Phaselluslibero.co.pk,4648 Dapibus Road
2012,DHQ Hospital,Wayne,34766574,ultrices.Duis@nuncrisusvarius.org,"P.O. Box 968, 2491 Sed, Ave"
2013,DHQ Hospital,Indira,34142104,Donec@ligulaDonecluctus.org,661-7349 Fermentum Rd.
2014,DHQ Hospital,Cain,34069964,Donec@ridiculus.org,"533 Non, Av."
2015,DHQ Hospital,Sigourney,34289310,sit@maurisrhoncusid.org,253-9590 Semper St.
2016,DHQ Hospital,Devin,34445049,facilisis@mi.net,687-9938 Elit Street
2017,Allied Hospital,Lyle,34744428,augue.scelerisque@eutemporerat.pk,Ap #142-9001 Velit. Ave
2018,F.I.C Hospital,Keane,34583368,Phasellus@dolorDonecfringilla.com,Ap #621-7122 Velit Rd.
2019,Punjab Institute of Nuclear Medicine PINUM,Hyacinth,34707466,massa.Quisque.porttitor@ultricessitamet.co.pk,"P.O. Box 530, 6769 Posuere Rd."
2020,St. Raphael's Hospital,Yuli,34885044,adipiscing.lobortis.risus@neceleifendnon.org,798-8504 Nunc Avenue
2021,Rosary Christian Hospital,Thaddeus,34938533,sem.magna@vehicularisusNulla.org,6946 Risus. Street
2022,Al Noor Hospital,Courtney,34857741,lacus@faucibus.pk,981-8942 At St.
2023,Prime Care Hospital,Priscilla,34000047,sociis.natoque@euligulaAenean.edu,"P.O. Box 376, 3211 Integer Ave"
2024,Punjab Social Security Hospital,Martin,34388097,vitae.aliquet@semperegestasurna.com,7847 Mauris Rd.
2025,General Hospital Samanabad,Cameran,34341998,parturient.montes.nascetur@lectussitamet.co.pk,5037 Eget St.
2026,Aziz Fatimah Hospital,Abel,34074546,tortor.Integer.aliquam@atvelit.org,"P.O. Box 129, 5435 Diam. St."
2027,DHQ Hospital,Joshua,34705979,Fusce@molestieintempus.pk,"5339 Id, St."
2028,Tuberculosis Hospital,Teagan,34093990,eget@dignissim.co.pk,Ap #714-6047 Convallis Avenue
2029,GINUM Cancer Hospital,Lyle,34909147,Aliquam.adipiscing.lobortis@lacus.net,723-5988 Mauris Av.
2030,Combined Military Hospital,Acton,34900465,enim.non.nisi@netusetmalesuada.org,9659 Ipsum Avenue
2031,Siddique Sadiq Hospital,Jamalia,34679547,felis.adipiscing.fringilla@libero.pk,"P.O. Box 925, 8421 Leo. Street"
2032,Chathah Hospital,Buckminster,34046785,eu.elit@necmauris.com,9233 Ac Avenue
2033,Aziz Bhatii Shaheed (DHQ) Hospital,Igor,34274293,elementum@utmiDuis.org,"P.O. Box 471, 4425 Ac Av."
2034,DHQ Hospital,Patrick,34533218,turpis@nullaDonecnon.org,694-8202 Felis Avenue
2035,DHQ Hospital,Kimberley,34848213,vestibulum.nec@Proinvelarcu.pk,"1315 Mi, Road"
2036,DHQ Hospital,Raya,34398237,adipiscing.enim@sagittisplaceratCras.net,411-1414 Suspendisse Rd.
2037,CMH,Angela,34348205,magna.Lorem.ipsum@Nullam.net,447-5422 Rutrum Street
2038,DHQ Hospital,Hayfa,34950265,Integer.mollis@massa.com,168-8061 Morbi Ave
2039,DHQ Hospital,Yardley,34918053,Vestibulum.ante@etultrices.net,3358 Non Av.
2040,DHQ Hospital,Anne,34079738,libero.est@AeneanmassaInteger.com,Ap #364-7506 Nulla St.
2041,DHQ Hospital,Kessie,34914429,Nunc.commodo.auctor@Donec.org,1430 Sapien. Av.
2042,DHQ Hospital,Cassandra,34263257,eros.Nam.consequat@adipiscingMauris.pk,593-9830 Vitae Rd.
2043,DHQ Hospital,John,34277430,risus.a.ultricies@velquamdignissim.net,491 Dui Ave
2044,DHQ Hospital,Nathan,34136493,porttitor@feugiatLoremipsum.com,Ap #691-6708 Metus. Road
2045,Bakhtawar Amin Memorial Hospital,Eric,34357988,fringilla.ornare@ut.net,339-2353 Nisi. Rd.
2046,Chaudhry Pervaiz Elahi Institute of Cardiology Multan,Meredith,34967197,feugiat.Sed@ipsumsodales.edu,"P.O. Box 674, 3568 Dictum Avenue"
2047,Khawaja Farid Social Security Hospital,Scott,34728149,lorem.ac@Nullamscelerisque.edu,Ap #525-6908 Sed St.
2048,Nishtar Hospital,Bree,34550119,adipiscing@eteuismod.pk,106-1362 Proin St.
2049,Railway Hospital Multan,Lillith,34123115,fringilla.purus.mauris@mattis.co.pk,"3841 At, St."
2050,Combined Military Hospital,Paula,34370485,Nulla.interdum.Curabitur@interdumSedauctor.edu,Ap #374-4885 Fringilla Avenue
2051,Women's Christian Hospital,Alexa,34160105,nec.urna.et@Namnulla.com,816-9980 Tempor Av.
2052,DHQ Hospital,Ira,34789262,convallis.erat.eget@sapienAeneanmassa.com,Ap #362-3900 Vivamus Street
2053,DHQ Hospital,Hilel,34128493,ante.Vivamus@ligulatortordictum.com,6442 Nullam Street
2054,DHQ Hospital,Montana,34764622,semper.pretium.neque@etultricesposuere.com,"P.O. Box 344, 5068 Ut Rd."
2055,DHQ Hospital,Plato,34568423,tincidunt.pede@lobortis.com,Ap #460-3767 Libero Av.
2056,Combined Military Hospital,Bethany,34929364,enim.Mauris@magna.pk,467-4992 Euismod Avenue
2057,DHQ Hospital,Dillon,34594745,malesuada@luctuset.pk,2738 Non Rd.
2058,Jinnah Postgraduate Medical Centre,Sybill,34240705,amet.consectetuer.adipiscing@vitaeerat.edu,210 Fringilla. St.
2059,Karachi Institute of Radiotherapy and Nuclear Medicine,Declan,34140707,eget.magna.Suspendisse@Pellentesquetincidunt.org,1811 Vel Rd.
2060,National Institute of Cardiovascular Diseases,Rana,34524761,cursus@mattisvelit.org,8094 Ante Road
2061,PNS Rahat,Ross,34950394,arcu.eu.odio@dictumauguemalesuada.net,"P.O. Box 287, 1805 Integer Rd."
2062,PNS Shifa,Zena,34221861,posuere@maurisMorbinon.com,"9100 Vitae, Rd."
2064,Civil Hospital,Lawrence,34841544,Donec@Phaselluslibero.co.pk,952-2131 Mollis Rd.
2065,Sindh Institute of Skin Diseases,Tatyana,34871001,Mauris.ut.quam@fermentumconvallisligula.edu,Ap #373-9101 Consequat Av.
2066,Sindh Institute of Urology and Transplantation,Alika,34548082,feugiat@ornare.com,Ap #801-5987 Ultricies Rd.
2067,Holy Family Hospital,Anne,34848756,nulla.In@maurisrhoncus.edu,9985 Magna. St.
2068,Indus Hospital,Carissa,34573193,eget.ipsum.Donec@congue.org,Ap #209-1817 Magna. Av.
2069,Abbasi Shaheed Hospital,Meredith,34718102,id.risus.quis@sociis.com,673-4093 Cum St.
2070,Institute of Infection Diseases,Cathleen,34194836,in.felis.Nulla@Mauris.org,487-9832 Lectus. Ave
2071,Nasir Hussein Shaheed Hospital,Seth,34452769,Integer@estmollisnon.com,Ap #837-8691 Arcu. Avenue
